FID,density,WMO_class,baseline,tile_area,density_delta,density_percent,WMO_zone,OBJECTID,CONTINENT,Shape_Leng,Shape_Area,FCNAME,FENAME,OBJECTID.1,Continent,lon,lat
282,0,5,0.04,6927.9941653468,0.04,100,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-67.5,-55.836982706677
288,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-70.5,-54.836982706677
289,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-69.5,-54.836982706677
290,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,阿根廷,Argentina,142,22,-68.5,-54.836982706677
291,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,阿根廷,Argentina,142,22,-67.5,-54.836982706677
292,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,阿根廷,Argentina,142,22,-66.5,-54.836982706677
293,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,阿根廷,Argentina,142,22,-65.5,-54.836982706677
294,0,5,0.04,7104.71155744488,0.04,100,5,5,South America,622.552603495,1539.31290272,NA,NA,NA,NA,-64.5,-54.836982706677
303,0,5,0.04,7279.24059616316,0.04,100,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-72.5,-53.836982706677
305,0,5,0.04,7279.24059616316,0.04,100,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-70.5,-53.836982706677
306,0,5,0.04,7279.24059616316,0.04,100,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-69.5,-53.836982706677
307,0,5,0.04,7279.24059616316,0.04,100,5,5,South America,622.552603495,1539.31290272,阿根廷,Argentina,142,22,-68.5,-53.836982706677
313,0,5,0.04,7451.52851042125,0.04,100,5,5,South America,622.552603495,1539.31290272,NA,NA,NA,NA,-74.5,-52.836982706677
315,0,4,0.00111111111111111,7451.52851042125,0.00111111111111111,100,4,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-72.5,-52.836982706677
316,1,4,0.00111111111111111,7451.52851042125,0.000976910457030346,87.9219411327311,4,5,South America,622.552603495,1539.31290272,NA,NA,NA,NA,-71.5,-52.836982706677
318,2,5,0.04,7451.52851042125,0.0397315986918385,99.3289967295962,5,5,South America,622.552603495,1539.31290272,智利,Republic of Chile,144,22,-69.5,-52.836982706677
